,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@AlexEpstein @OpenAI @sama There is great danger in training an AI to lie,8418,1110,2022-12-24 13:25:14+00:00
1,elonmusk,@hodgetwins From Scientific American!? @sciam,10237,625,2022-12-24 13:23:01+00:00
2,elonmusk,@__SeriousGemini @wongmjane @ReplyGPT @OpenAI Yes,892,45,2022-12-24 12:48:18+00:00
3,elonmusk,"@ReutersTech False, it is still there",39736,2595,2022-12-24 12:43:47+00:00
4,elonmusk,"@stillgray We should think of various explanations for any given event in terms of probabilities, not certainties. 

Those who don’t allow any questioning of the narrative at all are full of 💩.",9177,1507,2022-12-24 12:42:12+00:00
5,elonmusk,"@LayahHeilpern We’ll tidy up the esthetics &amp; add a setting to turn it off, but I think almost everyone will grow to like it",18082,518,2022-12-24 12:32:21+00:00
6,elonmusk,@ggreenwald Precisely.,5974,351,2022-12-24 12:28:57+00:00
7,elonmusk,"@wongmjane 1. The message is actually still up. This is fake news.

2. Twitter doesn’t prevent suicide.",13178,927,2022-12-24 12:27:13+00:00
8,elonmusk,Even after I disconnected one of the more sensitive server racks,13906,752,2022-12-24 12:15:45+00:00
9,elonmusk,And yet work it does,13818,668,2022-12-24 12:11:39+00:00
10,elonmusk,… is what it feels like understanding how Twitter works,15144,764,2022-12-24 11:55:24+00:00
11,elonmusk,@ggreenwald No special treatment for corpo journalists anymore,26933,2173,2022-12-24 11:51:04+00:00
12,elonmusk,Fractal of Rube Goldberg machines …,43159,2837,2022-12-24 11:47:17+00:00
13,elonmusk,"@Spiro_Ghost I was invited to WEF, but declined",22207,3219,2022-12-24 07:56:31+00:00
14,elonmusk,@WallStreetSilv Damn,20000,1155,2022-12-24 07:21:29+00:00
15,elonmusk,"@RichardDawkins True, “progressive” professors are the root of this evil",32426,3491,2022-12-24 07:10:11+00:00
16,elonmusk,@cyrusrezvanian @christine_rez Almost no one understands,27383,1300,2022-12-24 03:26:02+00:00
17,elonmusk,@tobi You can also now play all Steam games on the latest Model S/X cars,14805,575,2022-12-24 03:25:06+00:00
18,elonmusk,@BillFOXLA @FoxNews !!,18464,1560,2022-12-24 01:39:39+00:00
19,elonmusk,@PranavHegdeHere That and several major UI improvements coming in Jan,9631,502,2022-12-23 21:25:34+00:00
20,elonmusk,"@CollinRugg To be clear, I am overall very much pro FBI. The agency does a great deal of important work protecting the public. 

That said, no organization is perfect and part of the FBI obviously overreached with respect to online censorship.",40016,3900,2022-12-23 21:23:58+00:00
21,elonmusk,@breeadail And engineering,4443,229,2022-12-23 21:19:09+00:00
22,elonmusk,@breeadail St Peter’s is an incredible work of art,12858,554,2022-12-23 21:18:48+00:00
23,elonmusk,Twitter votes for the right haha https://t.co/hx2nVqGQue,95480,6415,2022-12-23 21:08:26+00:00
24,elonmusk,@Liv_Boeree You got it!,23443,887,2022-12-23 19:08:52+00:00
25,elonmusk,@WallStreetSilv @johnkrausphotos @DavidSacks Person liking it decides,4417,214,2022-12-23 18:56:50+00:00
26,elonmusk,@Teacloc @neontaster Rules now apply equally,8170,614,2022-12-23 18:46:47+00:00
27,elonmusk,@DefiantLs @Lukewearechange 🤣🤣,103156,2903,2022-12-23 18:32:08+00:00
28,elonmusk,@RealDanODowd Dan is basically an unpaid intern on our QA team lol,41585,1450,2022-12-23 18:08:29+00:00
29,elonmusk,@MrBeast Couldn’t agree more!,202723,3782,2022-12-23 18:07:07+00:00
30,elonmusk,@johnkrausphotos @WallStreetSilv @DavidSacks Interesting. Allowing a user to make any given like public or private is coming.,4648,286,2022-12-23 17:58:45+00:00
31,elonmusk,"@WallStreetSilv @DavidSacks Views shows how alive Twitter is! And hopefully encourages people to tweet more often, rather than operate in read-only mode.",6657,504,2022-12-23 17:46:12+00:00
32,elonmusk,@SeSphoenix @CryptoArch3 Good point,5073,178,2022-12-23 17:34:38+00:00
33,elonmusk,@InspiredTesla @CryptoArch3 Agreed,2144,76,2022-12-23 17:33:56+00:00
34,elonmusk,@TheQuartering 🤣,8812,261,2022-12-23 17:32:24+00:00
35,elonmusk,@PPathole Yes,3684,139,2022-12-23 17:23:07+00:00
36,elonmusk,@CryptoArch3 Do you prefer your nightmare rectangle with 1cm or 2cm radius corners?,8491,280,2022-12-23 17:21:02+00:00
37,elonmusk,@kinetic_finance Ok,4802,151,2022-12-23 17:17:17+00:00
38,elonmusk,@ProfessorF @JackPosobiec @alx Curses!,8449,386,2022-12-23 17:11:19+00:00
39,elonmusk,@djswivel @BTS_twt Great idea,26956,4087,2022-12-23 17:09:42+00:00
40,elonmusk,So you’re saying you prefer the right? Heheh,175866,6903,2022-12-23 17:08:52+00:00
41,elonmusk,@shethssahil1 @TheSonOfWalkley @Twitter Spaces should automatically ask the host if they’d like to save it,3555,176,2022-12-23 14:06:07+00:00
42,elonmusk,@dogeofficialceo @TheeFreeWill @WallStreetSilv @DavidSacks 🤣,3300,141,2022-12-23 13:02:36+00:00
43,elonmusk,"@TheeFreeWill @WallStreetSilv @DavidSacks Instagram is an underpaid, online modeling agency",3774,355,2022-12-23 12:39:59+00:00
44,elonmusk,@TheSonOfWalkley @Twitter Yup,13556,503,2022-12-23 11:17:40+00:00
